stationName,dataTime,pm10Value,pm25Value,sidoName
영암읍,2026-04-21 16:00,127,13,전남
송단리,2026-04-21 16:00,76,15,전남
화순읍,2026-04-21 16:00,73,23,전남
영광읍,2026-04-21 16:00,116,20,전남
안마도,2026-04-21 16:00,130,24,전남
장흥읍,2026-04-21 16:00,98,24,전남
진도읍,2026-04-21 16:00,100,8,전남
신지면,2026-04-21 16:00,115,11,전남
함평읍,2026-04-21 16:00,119,13,전남
고흥읍,2026-04-21 16:00,92,6,전남
신안군,2026-04-21 16:00,122,14,전남
홍도,2026-04-21 16:00,124,24,전남
가거도,2026-04-21 16:00,136,28,전남
무안읍,,,,전남
남악.오룡,2026-04-21 16:00,151,23,전남
강진읍,2026-04-21 16:00,85,16,전남
곡성읍,2026-04-21 16:00,-,-,전남
구례읍,2026-04-21 16:00,74,10,전남
벌교읍,2026-04-21 16:00,91,13,전남
보성읍,2026-04-21 16:00,84,10,전남
목포항,2026-04-21 16:00,130,23,전남
광양항,2026-04-21 16:00,147,29,전남
여수항,2026-04-21 16:00,-,-,전남
광양 중마,2026-04-21 16:00,139,26,전남
광양 율촌,2026-04-21 16:00,129,17,전남
이도동,2026-04-21 16:00,143,11,제주
연동,2026-04-21 16:00,141,14,제주
조천읍,2026-04-21 16:00,125,10,제주
한림읍,2026-04-21 16:00,104,17,제주
화북동,2026-04-21 16:00,122,13,제주
애월읍,2026-04-21 16:00,135,17,제주
동홍동,2026-04-21 16:00,111,15,제주
성산읍,2026-04-21 16:00,112,16,제주
남원읍,2026-04-21 16:00,116,17,제주
강정동,2026-04-21 16:00,119,14,제주
대정읍,2026-04-21 16:00,121,10,제주
노형로,2026-04-21 16:00,122,8,제주
고산리,2026-04-21 16:00,104,18,제주
제주항,2026-04-21 16:00,128,18,제주
남산1동,2026-04-21 16:00,100,20,대구
수창동,2026-04-21 16:00,85,14,대구
지산동,2026-04-21 16:00,84,14,대구
서호동,2026-04-21 16:00,90,14,대구
용계동,2026-04-21 16:00,96,11,대구
이현동,2026-04-21 16:00,91,16,대구
평리동,2026-04-21 16:00,95,20,대구
대명동,2026-04-21 16:00,91,17,대구
신암동,2026-04-21 16:00,85,11,대구
태전동,2026-04-21 16:00,79,11,대구
산격동,2026-04-21 16:00,91,14,대구
서변동,2026-04-21 16:00,86,15,대구
연호동,2026-04-21 16:00,104,19,대구
만촌동,2026-04-21 16:00,86,16,대구
호림동,2026-04-21 16:00,-,-,대구
유가읍,2026-04-21 16:00,95,14,대구
이곡동,2026-04-21 16:00,-,-,대구
시지동,2026-04-21 16:00,-,-,대구
진천동,2026-04-21 16:00,91,18,대구
다사읍,2026-04-21 16:00,114,18,대구
본동,2026-04-21 16:00,91,19,대구
내당동,2026-04-21 16:00,96,19,대구
침산동,2026-04-21 16:00,94,12,대구
화원읍,2026-04-21 16:00,97,17,대구
충혼탑,2026-04-21 16:00,96,17,대구
군위읍,2026-04-21 16:00,102,11,대구
우현동,2026-04-21 16:00,65,17,경북
장흥동,2026-04-21 16:00,95,10,경북
장량동,2026-04-21 16:00,90,16,경북
대도동,2026-04-21 16:00,89,16,경북
대송면,2026-04-21 16:00,81,15,경북
3공단,2026-04-21 16:00,84,17,경북
송도동,2026-04-21 16:00,92,24,경북
오천읍,2026-04-21 16:00,95,16,경북
청림동,2026-04-21 16:00,103,14,경북
연일읍,2026-04-21 16:00,84,18,경북
제철동,2026-04-21 16:00,99,15,경북
성건동,2026-04-21 16:00,92,12,경북
보덕동,2026-04-21 16:00,93,23,경북
안강읍,2026-04-21 16:00,93,17,경북
외동읍,2026-04-21 16:00,92,11,경북
양덕동,2026-04-21 16:00,94,17,경북
평화남산동,2026-04-21 16:00,70,12,경북
대광동,2026-04-21 16:00,101,16,경북
율곡동,2026-04-21 16:00,96,13,경북
명륜동,2026-04-21 16:00,116,19,경북
공단동,2026-04-21 16:00,99,17,경북
원평동,2026-04-21 16:00,92,12,경북
형곡동,2026-04-21 16:00,89,7,경북
4공단,2026-04-21 16:00,108,15,경북
진미동,2026-04-21 16:00,77,10,경북
가흥동,2026-04-21 16:00,117,21,경북
영주동,2026-04-21 16:00,110,-,경북
중방동,2026-04-21 16:00,100,14,경북
하양읍,2026-04-21 16:00,107,14,경북
진량읍,2026-04-21 16:00,109,17,경북
상주시,2026-04-21 16:00,112,21,경북
칠곡군,2026-04-21 16:00,106,15,경북
영덕읍,2026-04-21 16:00,75,16,경북
강구면,2026-04-21 16:00,-,-,경북
영해면,2026-04-21 16:00,69,12,경북
문경시,2026-04-21 16:00,86,13,경북
성주군,2026-04-21 16:00,73,12,경북
화북면,2026-04-21 16:00,90,9,경북
영천시,2026-04-21 16:00,94,30,경북
안계면(교외),2026-04-21 16:00,-,-,경북
의성읍,2026-04-21 16:00,100,20,경북
안계면,2026-04-21 16:00,101,17,경북
울진군,2026-04-21 16:00,131,22,경북
석포면,2026-04-21 16:00,90,20,경북
봉화군청,2026-04-21 16:00,159,11,경북
태하리,2026-04-21 16:00,139,29,경북
울릉읍,2026-04-21 16:00,96,17,경북
대가야읍,2026-04-21 16:00,90,18,경북
영양군,2026-04-21 16:00,116,17,경북
예천군,2026-04-21 16:00,115,19,경북
화양읍,2026-04-21 16:00,91,15,경북
포항항,2026-04-21 16:00,112,27,경북
읍내동,2026-04-21 16:00,101,19,대전
문평동,2026-04-21 16:00,98,4,대전
문창동,2026-04-21 16:00,111,20,대전
구성동,2026-04-21 16:00,100,26,대전
노은동,2026-04-21 16:00,98,18,대전
상대동(대전),2026-04-21 16:00,111,18,대전
관평동,2026-04-21 16:00,93,22,대전
지족동,2026-04-21 16:00,103,21,대전
대흥동1,2026-04-21 16:00,92,13,대전
성남동1,2026-04-21 16:00,100,14,대전
대성동,2026-04-21 16:00,92,24,대전
정림동,2026-04-21 16:00,87,9,대전
둔산동,2026-04-21 16:00,113,14,대전
월평동,2026-04-21 16:00,105,16,대전
비래동,2026-04-21 16:00,96,16,대전
봉명동,2026-04-21 16:00,112,22,충북
사천동,2026-04-21 16:00,104,24,충북
용담동,2026-04-21 16:00,108,19,충북
용암동,2026-04-21 16:00,100,-,충북
복대동,2026-04-21 16:00,118,24,충북
성황동,2026-04-21 16:00,97,16,충남
백석동,2026-04-21 16:00,96,12,충남
성성동,2026-04-21 16:00,99,16,충남
성거읍,2026-04-21 16:00,89,26,충남
신방동,2026-04-21 16:00,95,18,충남
수신면,2026-04-21 16:00,99,18,충남
사곡면,2026-04-21 16:00,82,11,충남
공주,2026-04-21 16:00,108,15,충남
탄천면,2026-04-21 16:00,121,20,충남
부여읍,2026-04-21 16:00,98,15,충남
독곶리,2026-04-21 16:00,113,15,충남
